model,accuracy,logloss
MultinomialNB,0.8739316239316239,0.6449179329907996
Softmax LR,0.8376068376068376,0.45494365381047824
MLP,0.8739316463470459,0.3579055755046953
RNN,0.754273533821106,0.9158834388970208
LSTM,0.75,1.1721992847893825
CNN1D,0.2094017118215561,1.3925073022718768
